island,name,from,to,pvalue, 
Abaco,PC1,coastal,coppice,1,
Abaco,PC1,coastal,mangrove,1,
Abaco,PC1,coppice,mangrove,1,
Abaco,PC2,coastal,coppice,0.7272727272727273,
Abaco,PC2,coastal,mangrove,0.13636363636363635,
Abaco,PC2,coppice,mangrove,0.13636363636363635,
Abaco,PC3,coastal,coppice,0.13636363636363635,
Abaco,PC3,coastal,mangrove,0.13636363636363635,
Abaco,PC3,coppice,mangrove,0.18181818181818182,
Abaco,PC4,coastal,coppice,0.6818181818181818,
Abaco,PC4,coastal,mangrove,0.9090909090909091,
Abaco,PC4,coppice,mangrove,0.6818181818181818,
Bimini,PC1,coastal,coppice,0.40909090909090906,
Bimini,PC1,coastal,mangrove,0.2727272727272727,
Bimini,PC1,coppice,mangrove,0.7272727272727273,
Bimini,PC2,coastal,coppice,0.36363636363636365,
Bimini,PC2,coastal,mangrove,0.36363636363636365,
Bimini,PC2,coppice,mangrove,0.36363636363636365,
Bimini,PC3,coastal,coppice,0.13636363636363635,
Bimini,PC3,coastal,mangrove,0.7272727272727273,
Bimini,PC3,coppice,mangrove,0.13636363636363635,
Bimini,PC4,coastal,coppice,0.9090909090909091,
Bimini,PC4,coastal,mangrove,0.9090909090909091,
Bimini,PC4,coppice,mangrove,0.9090909090909091,
Cayman Brac,PC1,coastal,coppice,0.13636363636363635,
Cayman Brac,PC1,coastal,mangrove,0.5454545454545454,
Cayman Brac,PC1,coppice,mangrove,0.13636363636363635,
Cayman Brac,PC2,coastal,coppice,0.2727272727272727,
Cayman Brac,PC2,coastal,mangrove,0.2727272727272727,
Cayman Brac,PC2,coppice,mangrove,0.2727272727272727,
Cayman Brac,PC3,coastal,coppice,0.2727272727272727,
Cayman Brac,PC3,coastal,mangrove,0.13636363636363635,
Cayman Brac,PC3,coppice,mangrove,0.13636363636363635,
Cayman Brac,PC4,coastal,coppice,0.2727272727272727,
Cayman Brac,PC4,coastal,mangrove,0.2727272727272727,
Cayman Brac,PC4,coppice,mangrove,0.45454545454545453,
Eleuthera,PC1,coastal,coppice,0.8181818181818181,
Eleuthera,PC1,coastal,mangrove,0.9090909090909091,
Eleuthera,PC1,coppice,mangrove,0.8181818181818181,
Eleuthera,PC2,coastal,coppice,0.13636363636363635,
Eleuthera,PC2,coastal,mangrove,0.13636363636363635,
Eleuthera,PC2,coppice,mangrove,0.18181818181818182,
Eleuthera,PC3,coastal,coppice,0.2727272727272727,
Eleuthera,PC3,coastal,mangrove,0.5454545454545454,
Eleuthera,PC3,coppice,mangrove,0.5454545454545454,
Eleuthera,PC4,coastal,coppice,0.36363636363636365,
Eleuthera,PC4,coastal,mangrove,0.2727272727272727,
Eleuthera,PC4,coppice,mangrove,0.2727272727272727,
Little Cayman,PC1,coastal,coppice,0.13636363636363635,
Little Cayman,PC1,coastal,mangrove,0.36363636363636365,
Little Cayman,PC1,coppice,mangrove,0.13636363636363635,
Little Cayman,PC2,coastal,coppice,0.6363636363636364,
Little Cayman,PC2,coastal,mangrove,0.13636363636363635,
Little Cayman,PC2,coppice,mangrove,0.13636363636363635,
Little Cayman,PC3,coastal,coppice,0.13636363636363635,
Little Cayman,PC3,coastal,mangrove,0.13636363636363635,
Little Cayman,PC3,coppice,mangrove,0.2727272727272727,
Little Cayman,PC4,coastal,coppice,0.40909090909090906,
Little Cayman,PC4,coastal,mangrove,0.9090909090909091,
Little Cayman,PC4,coppice,mangrove,0.40909090909090906,
Long Island,PC1,coastal,coppice,0.40909090909090906,
Long Island,PC1,coastal,mangrove,0.7272727272727273,
Long Island,PC1,coppice,mangrove,0.40909090909090906,
Long Island,PC2,coastal,coppice,0.9090909090909091,
Long Island,PC2,coastal,mangrove,0.5454545454545454,
Long Island,PC2,coppice,mangrove,0.2727272727272727,
Long Island,PC3,coastal,coppice,0.13636363636363635,
Long Island,PC3,coastal,mangrove,0.13636363636363635,
Long Island,PC3,coppice,mangrove,0.6363636363636364,
Long Island,PC4,coastal,coppice,0.8181818181818182,
Long Island,PC4,coastal,mangrove,0.2727272727272727,
Long Island,PC4,coppice,mangrove,0.2727272727272727,
North Andros,PC1,coastal,coppice,1,
North Andros,PC1,coastal,mangrove,1,
North Andros,PC1,coppice,mangrove,1,
North Andros,PC2,coastal,coppice,0.2727272727272727,
North Andros,PC2,coastal,mangrove,0.2727272727272727,
North Andros,PC2,coppice,mangrove,0.8181818181818182,
North Andros,PC3,coastal,coppice,0.2727272727272727,
North Andros,PC3,coastal,mangrove,0.45454545454545453,
North Andros,PC3,coppice,mangrove,0.40909090909090906,
North Andros,PC4,coastal,coppice,0.7272727272727273,
North Andros,PC4,coastal,mangrove,0.7272727272727273,
North Andros,PC4,coppice,mangrove,0.7272727272727273,
Ragged Island,PC1,coastal,coppice,0.5454545454545454,
Ragged Island,PC1,coastal,mangrove,0.8181818181818182,
Ragged Island,PC1,coppice,mangrove,0.5454545454545454,
Ragged Island,PC2,coastal,coppice,0.2727272727272727,
Ragged Island,PC2,coastal,mangrove,0.13636363636363635,
Ragged Island,PC2,coppice,mangrove,0.13636363636363635,
Ragged Island,PC3,coastal,coppice,0.5454545454545454,
Ragged Island,PC3,coastal,mangrove,0.5454545454545454,
Ragged Island,PC3,coppice,mangrove,0.5454545454545454,
Ragged Island,PC4,coastal,coppice,0.5454545454545454,
Ragged Island,PC4,coastal,mangrove,0.2727272727272727,
Ragged Island,PC4,coppice,mangrove,0.2727272727272727,
South Andros,PC1,coastal,coppice,0.5454545454545454,
South Andros,PC1,coastal,mangrove,0.9090909090909091,
South Andros,PC1,coppice,mangrove,0.5454545454545454,
South Andros,PC2,coastal,coppice,0.45454545454545453,
South Andros,PC2,coastal,mangrove,0.2727272727272727,
South Andros,PC2,coppice,mangrove,0.2727272727272727,
South Andros,PC3,coastal,coppice,0.2727272727272727,
South Andros,PC3,coastal,mangrove,0.6363636363636364,
South Andros,PC3,coppice,mangrove,0.2727272727272727,
South Andros,PC4,coastal,coppice,0.13636363636363635,
South Andros,PC4,coastal,mangrove,0.13636363636363635,
South Andros,PC4,coppice,mangrove,0.2727272727272727,
